home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgma,H_fgpct,H_3gma,H_3pct,H_ftma,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgma,A_fgpct,A_3gma,A_3pct,A_ftma,A_ftpct,A_eff
Brooklyn,Indiana,02/03/2016,L,48,100,41,25,5,2,16,20,31,10,36-82,.439,7-23,.304,21-31,.677,101,114,44,23,11,5,15,20,34,10,44-88,.500,12-24,.500,14-17,.824,135
Brooklyn,Detroit,02/01/2016,L,48,100,39,28,5,4,11,15,32,7,40-82,.488,7-16,.438,13-15,.867,121,105,49,18,5,4,9,15,30,19,42-98,.429,10-30,.333,11-16,.688,111
Brooklyn,Miami,01/26/2016,L,48,98,32,24,5,2,16,15,29,3,36-71,.507,9-18,.500,17-23,.739,104,102,37,27,10,4,12,20,32,5,45-83,.542,3-9,.333,9-10,.900,129
Brooklyn,Oklahoma City,01/24/2016,W,48,116,49,24,10,7,11,17,31,18,45-94,.479,8-17,.471,18-25,.720,139,106,46,20,7,5,14,19,32,14,43-93,.462,8-26,.308,12-19,.632,113
Brooklyn,Utah,01/22/2016,L,48,86,24,24,5,2,11,15,18,6,33-75,.440,6-16,.375,14-18,.778,84,108,40,28,5,4,14,20,31,9,43-75,.573,9-16,.562,13-15,.867,137
Brooklyn,Cleveland,01/20/2016,L,48,78,39,20,4,4,12,16,30,9,35-84,.417,4-19,.211,4-8,.500,80,91,45,15,6,3,13,13,39,6,36-77,.468,5-17,.294,14-20,.700,100
Brooklyn,Portland,01/15/2016,L,48,104,46,22,6,5,12,10,30,16,38-85,.447,8-19,.421,20-28,.714,116,116,42,26,7,5,9,18,30,12,47-93,.505,15-35,.429,7-11,.636,137
Brooklyn,New York,01/13/2016,W,48,110,45,24,8,3,15,15,37,8,45-86,.523,9-17,.529,11-14,.786,131,104,47,19,10,3,13,13,32,15,41-91,.451,7-22,.318,15-23,.652,112
Brooklyn,San Antonio,01/11/2016,L,48,79,30,15,5,3,15,18,25,5,33-73,.452,2-12,.167,11-13,.846,75,106,40,27,8,4,12,15,30,10,44-82,.537,4-13,.308,14-19,.737,130
Brooklyn,Orlando,01/08/2016,L,48,77,41,17,4,2,15,14,31,10,29-73,.397,7-22,.318,12-20,.600,74,83,49,25,7,4,14,22,36,13,33-83,.398,13-27,.481,4-6,.667,102
Brooklyn,Toronto,01/06/2016,L,48,74,39,18,8,4,18,18,33,6,31-78,.397,5-16,.312,7-12,.583,73,91,49,16,12,7,17,15,37,12,35-80,.438,4-22,.182,17-18,.944,112
Brooklyn,Boston,01/04/2016,L,48,94,53,16,4,6,14,18,37,16,32-85,.376,6-28,.214,24-27,.889,103,103,48,22,10,5,7,21,36,12,41-92,.446,6-21,.286,15-19,.789,126
Brooklyn,Washington,12/26/2015,L,48,96,50,24,8,5,19,22,34,16,43-89,.483,5-17,.294,5-16,.312,107,111,39,32,10,5,11,20,32,7,42-84,.500,12-27,.444,15-22,.682,137
Brooklyn,Dallas,12/23/2015,L,53,118,43,32,9,4,11,17,28,15,51-101,.505,10-19,.526,6-14,.429,137,119,34,27,3,4,17,18,29,5,45-82,.549,16-34,.471,13-15,.867,131
Brooklyn,Minnesota,12/20/2015,L,48,85,39,26,7,2,14,20,33,6,32-78,.410,5-21,.238,16-20,.800,95,100,46,29,12,5,13,21,39,7,38-80,.475,3-12,.250,21-24,.875,134
Brooklyn,Miami,12/16/2015,L,48,98,35,24,6,3,6,18,25,10,42-89,.472,4-16,.250,10-14,.714,109,104,45,16,4,6,12,13,37,8,40-75,.533,7-21,.333,17-24,.708,121
Brooklyn,Orlando,12/14/2015,L,48,82,39,23,5,0,17,19,30,9,31-80,.388,7-19,.368,13-16,.812,80,105,43,24,12,3,16,18,36,7,41-76,.539,9-21,.429,14-20,.700,130
Brooklyn,L.A.Clippers,12/12/2015,L,48,100,46,17,5,2,16,22,34,12,35-79,.443,5-19,.263,25-30,.833,105,105,40,28,12,0,12,21,33,7,43-86,.500,8-24,.333,11-18,.611,123
Brooklyn,Philadelphia,12/10/2015,W,48,100,43,22,5,1,19,20,34,9,37-74,.500,6-14,.429,20-27,.741,108,91,38,17,14,6,10,22,25,13,34-87,.391,4-31,.129,19-22,.864,100
Brooklyn,Houston,12/08/2015,W,48,110,42,27,14,7,24,17,30,12,45-81,.556,7-18,.389,13-16,.812,137,105,36,26,20,3,23,15,26,10,39-82,.476,15-35,.429,12-17,.706,119
