"","away_team","home_team","date","result","min","H_pts","H_reb","H_ast","H_stl","H_blk","H_to","H_pf","H_dreb","H_oreb","H_fgpct","H_3pct","H_ftpct","H_eff","A_pts","A_reb","A_ast","A_stl","A_blk","A_to","A_pf","A_dreb","A_oreb","A_fgpct","A_3pct","A_ftpct","A_eff","H_FGM","H_FGA","A_FGM","A_FGA","H_3M","H_3A","A_3M","A_3A","H_FTM","H_FTA","A_FTM","A_FTA","reg_season","pre_allstar","away_team_idx","home_team_idx","team_abbv","away_team_idx"
"159","Memphis","Denver","2016-02-29","L",48,96,40,27,3,4,19,26,32,8,0.533,0.32,0.8,114,103,27,27,7,4,8,16,23,4,0.48,0.15,0.778,113,40,75,36,75,8,25,3,20,8,10,28,36,TRUE,FALSE,7,2,"DEN",7
"160","Memphis","Denver","2016-01-21","L",48,101,40,26,6,1,10,25,30,10,0.45,0.3,0.769,114,102,37,21,7,6,12,23,33,4,0.5,0.286,0.828,120,36,80,36,72,9,30,6,21,20,26,24,29,TRUE,TRUE,7,2,"DEN",7
"161","Memphis","Golden State","2016-04-13","W",48,125,51,35,7,7,17,14,39,12,0.529,0.426,0.812,164,104,40,25,12,1,13,18,27,13,0.429,0.333,0.75,109,46,87,42,98,20,47,8,24,13,16,12,16,TRUE,FALSE,7,3,"GSW",7
"162","Memphis","Golden State","2015-11-02","W",48,119,65,32,8,13,14,15,55,10,0.512,0.44,0.733,174,69,44,21,8,7,11,24,33,11,0.271,0.13,0.7,62,43,84,26,96,11,25,3,23,22,30,14,20,TRUE,TRUE,7,3,"GSW",7
"163","Memphis","Houston","2016-03-14","W",48,130,53,29,13,14,13,22,45,8,0.541,0.485,0.647,175,81,58,14,7,0,19,25,30,28,0.297,0.235,0.607,59,46,85,30,101,16,33,4,17,22,34,17,28,TRUE,FALSE,7,4,"HOU",7
"164","Memphis","Houston","2015-11-25","L",48,93,37,19,14,7,19,22,31,6,0.423,0.294,0.852,106,102,41,21,8,3,17,23,32,9,0.487,0.188,0.913,115,30,71,39,80,10,34,3,16,23,27,21,23,TRUE,TRUE,7,4,"HOU",7
"165","Memphis","L.A. Clippers","2016-04-12","W",48,110,41,29,11,7,9,19,33,8,0.547,0.48,0.762,150,84,38,16,5,1,16,18,25,13,0.407,0.25,0.643,72,41,75,35,86,12,25,5,20,16,21,9,14,TRUE,FALSE,7,5,"LAC",7
"166","Memphis","L.A. Clippers","2015-11-09","W",48,94,40,14,5,8,18,20,32,8,0.412,0.263,0.892,99,92,40,21,11,3,14,28,30,10,0.438,0.182,0.69,99,28,68,35,80,5,19,2,11,33,37,20,29,TRUE,TRUE,7,5,"LAC",7
"167","Memphis","L.A. Lakers","2016-03-22","W",48,107,40,21,10,4,20,23,29,11,0.506,0.316,0.958,123,100,33,23,13,2,20,26,20,13,0.5,0.267,0.696,104,39,77,40,80,6,19,4,15,23,24,16,23,TRUE,FALSE,7,6,"LAL",7
"168","Memphis","L.A. Lakers","2016-02-26","L",48,95,38,14,9,3,7,14,27,11,0.41,0.217,0.667,93,112,47,24,6,7,13,26,37,10,0.506,0.406,0.867,139,32,78,43,85,5,23,13,32,26,39,13,15,TRUE,FALSE,7,6,"LAL",7
"169","Memphis","Minnesota","2016-01-23","W",48,106,38,26,7,5,15,21,30,8,0.5,0.294,0.917,130,101,34,22,9,3,13,23,24,10,0.468,0.474,0.818,110,34,68,37,79,5,17,9,19,33,36,18,22,TRUE,TRUE,7,8,"MIN",7
"170","Memphis","Minnesota","2015-11-15","L",48,106,33,20,10,2,12,24,24,9,0.5,0.312,0.905,116,114,34,21,7,6,15,16,30,4,0.563,0.529,0.926,134,41,82,40,71,5,16,9,17,19,21,25,27,TRUE,TRUE,7,8,"MIN",7
"171","Memphis","New Orleans","2016-02-01","L",48,95,37,19,8,4,9,14,23,14,0.409,0.385,0.619,94,110,40,27,4,5,14,21,37,3,0.606,0.562,0.833,141,36,88,43,71,10,26,9,16,13,21,15,18,TRUE,TRUE,7,9,"NOP",7
"172","Memphis","New Orleans","2015-12-01","L",48,104,37,25,3,11,8,21,28,9,0.432,0.333,0.758,118,113,49,21,3,4,6,23,36,13,0.478,0.2,0.962,136,35,81,43,90,9,27,2,10,25,33,25,26,TRUE,TRUE,7,9,"NOP",7
"173","Memphis","Oklahoma City","2016-01-06","W",48,112,52,20,3,6,15,23,39,13,0.458,0.471,0.848,128,94,39,21,9,4,8,24,30,9,0.389,0.333,0.708,97,38,83,35,90,8,17,7,21,28,33,17,24,TRUE,TRUE,7,10,"OKC",7
"174","Memphis","Phoenix","2016-03-21","L",48,97,45,22,8,10,17,18,36,9,0.395,0.393,0.765,111,103,45,18,10,4,13,27,35,10,0.433,0.4,0.895,114,30,76,39,90,11,28,8,20,26,34,17,19,TRUE,FALSE,7,11,"PHX",7
"175","Memphis","Phoenix","2016-02-27","W",48,111,56,19,4,3,18,28,40,16,0.463,0.375,0.714,122,106,34,15,11,4,8,26,27,7,0.4,0.3,0.857,108,37,80,32,80,12,32,6,20,25,35,36,42,TRUE,FALSE,7,11,"PHX",7
"176","Memphis","Portland","2016-01-04","L",48,78,42,14,7,4,21,19,35,7,0.389,0.25,0.625,71,91,52,21,10,3,11,19,35,17,0.385,0.2,0.692,102,28,72,35,91,7,28,3,15,15,24,18,26,TRUE,TRUE,7,12,"POR",7
"177","Memphis","Portland","2015-11-05","W",48,115,47,29,3,3,8,19,33,14,0.506,0.5,0.6,138,96,36,20,4,5,8,14,29,7,0.481,0.35,0.714,107,44,87,37,77,15,30,7,20,12,20,15,21,TRUE,TRUE,7,12,"POR",7
"178","Memphis","Sacramento","2015-11-03","L",48,89,35,17,8,1,13,21,27,8,0.392,0.35,0.6,76,103,50,23,5,7,16,31,38,12,0.482,0.15,0.8,124,29,74,40,83,7,20,3,20,24,40,20,25,TRUE,TRUE,7,13,"SAC",7
"179","Memphis","San Antonio","2016-03-25","W",48,110,37,25,7,5,14,12,29,8,0.571,0.412,0.833,134,104,31,23,11,4,10,19,23,8,0.53,0.389,0.692,120,44,77,44,83,7,17,7,18,15,18,9,13,TRUE,FALSE,7,14,"SAS",7
"180","Memphis","San Antonio","2015-11-21","W",48,92,40,20,7,6,17,20,33,7,0.472,0.333,0.773,105,82,35,19,13,2,16,23,28,7,0.432,0.111,1,93,34,72,32,74,7,21,1,9,17,22,17,17,TRUE,TRUE,7,14,"SAS",7
"181","Memphis","Utah","2016-01-02","W",53,92,48,17,4,7,16,24,39,9,0.413,0.333,0.75,101,87,40,17,8,4,11,24,32,8,0.407,0.389,0.538,85,31,75,33,81,9,27,7,18,21,28,14,26,TRUE,TRUE,7,15,"UTA",7
