home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgpct,H_3pct,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgpct,A_3pct,A_ftpct,A_eff,home_team_idx,away_team_idx,H_FGM,H_FGA,A_FGM,A_FGA,H_3M,H_3A,A_3M,A_3A,H_FTM,H_FTA,A_FTM,A_FTA,reg_season,pre_allstar
Chicago,Toronto,2017-01-07,W,53,123,60,25,5,2,14,27,43,17,0.392,0.39299999999999996,0.9229999999999999,139,118,41,20,11,5,10,22,35,6,0.435,0.258,0.8370000000000001,130,4,28,38,97,37,85,11,28,8,31,36,39,36,43,True,True
Chicago,Charlotte,2017-01-02,W,48,118,44,23,10,9,9,17,30,14,0.467,0.304,0.9309999999999999,145,111,35,24,6,3,14,19,28,7,0.494,0.474,0.909,121,4,3,42,90,41,83,7,23,9,19,27,29,20,22,True,True
Chicago,Milwaukee,2016-12-31,L,48,96,37,23,9,5,11,21,23,14,0.39799999999999996,0.37,0.7140000000000001,101,116,43,29,7,8,12,19,35,8,0.5660000000000001,0.6,0.778,152,4,16,33,83,43,76,10,27,9,15,20,28,21,27,True,True
Chicago,Brooklyn,2016-12-28,W,48,101,55,20,8,9,18,17,37,18,0.39799999999999996,0.231,0.966,121,99,38,21,9,5,14,22,28,10,0.43,0.39399999999999996,0.75,105,4,18,35,88,37,86,3,13,13,33,28,29,12,16,True,True
Chicago,Indiana,2016-12-26,W,48,90,47,17,10,3,12,15,31,16,0.386,0.24,0.7140000000000001,96,85,41,26,5,5,16,21,31,10,0.42,0.36,0.8,97,4,11,32,83,34,81,6,25,9,25,20,28,8,10,True,True
Chicago,Washington,2016-12-21,L,48,97,49,25,4,6,14,18,32,17,0.4,0.28600000000000003,0.789,106,107,44,23,7,4,10,20,38,6,0.524,0.16699999999999998,0.72,129,4,30,38,95,43,82,6,21,3,18,15,19,18,25,True,True
Chicago,Detroit,2016-12-19,W,48,113,46,34,9,5,13,13,37,9,0.598,0.5,1.0,161,82,32,19,8,3,11,8,22,10,0.41,0.13,0.846,82,4,8,49,82,34,83,8,16,3,23,7,7,11,13,True,True
Chicago,Milwaukee,2016-12-16,L,48,69,50,17,7,3,12,14,31,19,0.304,0.23800000000000002,0.5329999999999999,63,95,53,26,7,4,11,14,42,11,0.46299999999999997,0.4,0.6920000000000001,126,4,16,28,92,38,82,5,21,10,25,8,15,9,13,True,True
Chicago,Minnesota,2016-12-13,L,48,94,42,20,7,6,9,16,29,13,0.43700000000000006,0.267,0.737,106,99,49,24,3,8,14,14,34,15,0.442,0.28600000000000003,0.773,116,4,17,38,87,38,86,4,15,6,21,14,19,17,22,True,True
Chicago,Miami,2016-12-10,W,48,105,47,17,8,6,11,15,35,12,0.452,0.125,0.903,123,100,43,25,5,5,12,22,29,14,0.462,0.25,0.611,110,4,15,38,84,42,91,1,8,5,20,28,31,11,18,True,True
Chicago,San Antonio,2016-12-08,W,48,95,50,24,7,5,19,13,40,10,0.43799999999999994,0.235,0.778,111,91,44,21,11,8,12,18,33,11,0.402,0.321,0.8,104,4,27,35,80,39,97,4,17,9,28,21,27,4,5,True,True
Chicago,Portland,2016-12-05,L,48,110,50,16,8,11,15,17,35,15,0.42200000000000004,0.304,0.868,127,112,38,25,9,8,9,27,28,10,0.484,0.375,0.722,130,4,25,35,83,45,93,7,23,9,24,33,38,13,18,True,True
Chicago,Cleveland,2016-12-02,W,48,111,49,31,11,4,12,16,33,16,0.49,0.16699999999999998,0.8240000000000001,142,105,33,30,5,1,18,15,27,6,0.542,0.385,0.5,113,4,5,47,96,45,83,3,18,10,26,14,17,5,10,True,True
Chicago,L.A.Lakers,2016-11-30,L,48,90,46,22,15,11,14,26,32,14,0.35200000000000004,0.19,0.759,104,96,60,17,12,3,23,24,42,18,0.40700000000000003,0.25,0.6829999999999999,104,4,,32,91,33,81,4,21,2,8,22,29,28,41,True,True
